1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
0.93,1.00,0.03,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.70,0.03
1.00,1.00,0.00,0.03
0.75,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.17,0.03
1.00,1.00,0.10,0.03
1.00,1.00,0.00,0.03
0.85,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.08,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.06,0.03
0.50,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.08,0.03
0.71,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.35,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.11,0.03
0.85,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.25,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.16,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.18,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
0.84,1.00,0.00,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.29,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.20,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.08,0.03
0.89,1.00,0.05,0.03
0.88,1.00,0.09,0.03
0.80,1.00,0.36,0.03
0.83,1.00,0.01,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.46,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.31,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.09,0.03
0.88,1.00,0.07,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.25,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.31,0.03
0.82,1.00,0.06,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.52,0.03
0.80,1.00,0.00,0.03
0.90,1.00,0.78,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.41,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.98,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.07,0.03
0.89,1.00,0.15,0.03
0.90,1.00,0.33,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.10,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.10,0.03
0.78,1.00,0.13,0.03
0.88,1.00,0.00,0.03
0.83,1.00,0.00,0.03
0.83,1.00,0.00,0.03
0.56,1.00,0.00,0.03
0.94,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.55,1.00,0.00,0.03
1.00,1.00,0.06,0.03
0.75,1.00,0.00,0.03
0.50,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.82,1.00,0.02,0.03
1.00,1.00,0.08,0.03
0.94,1.00,0.00,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.42,0.03
0.82,1.00,0.00,0.03
0.92,1.00,0.00,0.03
0.29,1.00,0.00,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.07,0.03
0.90,1.00,0.01,0.03
0.93,1.00,0.00,0.03
1.00,1.00,0.01,0.03
0.82,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.93,1.00,0.04,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,0.25,0.00,0.03
1.00,0.25,0.00,0.03
1.00,0.63,0.00,0.03
1.00,0.25,0.00,0.03
1.00,0.25,0.00,0.03
1.00,0.25,0.00,0.03
1.00,0.25,0.00,0.03
1.00,0.25,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.01,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.04,0.03
0.56,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.18,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.30,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.29,0.03
0.70,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.85,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.13,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.18,0.03
0.50,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.75,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.26,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.15,0.03
1.00,1.00,0.02,0.03
0.71,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.23,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.10,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
0.90,1.00,0.00,0.03
1.00,1.00,0.20,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.24,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.09,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.13,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.24,0.03
1.00,1.00,0.10,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.39,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
0.93,1.00,0.00,0.03
1.00,1.00,0.09,0.03
0.88,1.00,0.00,0.03
0.75,1.00,0.00,0.03
0.83,1.00,0.16,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.67,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.08,0.03
1.00,1.00,0.80,0.03
1.00,1.00,0.02,0.03
0.90,1.00,1.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.12,0.03
1.00,1.00,0.20,0.03
1.00,1.00,0.61,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.93,1.00,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.10,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.56,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
0.80,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.01,0.03
1.00,1.00,0.58,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
0.85,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.00,0.03
0.85,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.00,0.03
0.90,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.23,0.03
0.91,1.00,0.00,0.03
0.64,1.00,0.11,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.07,0.03
0.90,1.00,0.01,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.85,1.00,0.01,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.05,0.03
1.00,0.92,1.38,0.03
1.00,1.00,0.06,0.03
0.92,1.00,0.31,0.03
1.00,1.00,0.04,0.03
1.00,1.00,4.50,0.03
1.00,1.00,0.03,0.03
0.91,1.00,0.05,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.17,0.03
1.00,1.00,0.28,0.03
1.00,1.00,0.15,0.03
0.90,1.00,0.00,0.03
1.00,1.00,0.09,0.03
0.93,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.03,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.00,0.03
0.92,1.00,0.00,0.03
0.92,1.00,0.02,0.03
1.00,1.00,0.37,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.20,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.02,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.16,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.21,0.03
1.00,1.00,0.27,0.03
1.00,1.00,0.84,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.16,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.01,0.03
0.92,1.00,0.00,0.03
0.92,1.00,0.00,0.03
0.88,1.00,0.00,0.03
0.56,1.00,0.39,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.07,0.03
0.80,1.00,0.00,0.03
0.86,1.00,0.09,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,0.50,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.07,0.03
1.00,0.67,0.14,0.03
1.00,1.00,5.13,0.03
1.00,1.00,0.55,0.03
1.00,1.00,0.66,0.03
1.00,1.00,0.00,0.03
1.00,1.00,3.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
0.89,1.00,0.37,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.44,0.03
1.00,1.00,0.10,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.37,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.11,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.83,1.00,0.34,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.52,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.68,0.03
1.00,1.00,0.36,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.28,0.03
1.00,1.00,0.27,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.47,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.39,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.13,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.21,0.03
0.89,1.00,0.12,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.18,0.03
0.85,1.00,0.00,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
0.87,1.00,0.04,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,5.29,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.78,0.03
0.90,1.00,0.06,0.03
1.00,1.00,0.00,0.03
0.77,1.00,0.00,0.03
1.00,1.00,0.22,0.03
0.85,0.88,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.78,1.00,0.00,0.03
0.75,1.00,0.00,0.03
0.92,1.00,0.00,0.03
0.92,1.00,0.10,0.03
1.00,1.00,0.00,0.03
0.94,1.00,0.07,0.03
1.00,1.00,0.48,0.03
0.93,0.97,0.08,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.07,0.03
0.91,1.00,0.18,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.78,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.86,1.00,0.08,0.03
0.80,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.67,1.00,0.00,0.03
1.00,1.00,0.11,0.03
0.89,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.17,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
0.75,1.00,0.37,0.03
1.00,1.00,0.11,0.03
0.80,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.80,1.00,0.00,0.03
1.00,1.00,0.21,0.03
1.00,1.00,0.00,0.03
0.82,1.00,0.06,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.93,1.00,0.12,0.03
0.93,1.00,0.22,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.12,0.03
0.80,1.00,0.00,0.03
0.88,1.00,0.37,0.03
1.00,1.00,0.45,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.21,0.03
0.91,1.00,0.56,0.03
0.80,1.00,0.11,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,1.18,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.13,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
0.91,1.00,0.02,0.03
1.00,1.00,0.00,0.03
0.75,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.12,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.22,0.03
0.83,1.00,0.13,0.03
0.86,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.27,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.19,0.03
0.82,1.00,0.10,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.81,1.00,0.00,0.03
0.90,1.00,0.60,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.55,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.18,0.03
1.00,1.00,0.19,0.03
1.00,1.00,0.40,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.38,0.03
0.83,1.00,0.00,0.03
0.92,1.00,0.07,0.03
0.89,1.00,0.28,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.05,0.03
1.00,1.00,0.12,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,0.50,0.00,0.03
1.00,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.78,1.00,0.15,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
0.90,1.00,0.01,0.03
1.00,1.00,0.00,0.03
0.91,1.00,0.02,0.03
1.00,1.00,0.12,0.03
0.91,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.04,0.03
0.90,1.00,0.19,0.03
0.92,0.88,0.00,0.03
0.92,0.88,0.00,0.03
0.67,1.00,0.14,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.11,0.03
1.00,1.00,0.08,0.03
0.90,1.00,0.46,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.08,0.03
1.00,1.00,0.00,0.03
0.60,1.00,0.01,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.24,0.03
0.93,1.00,0.00,0.03
1.00,1.00,0.74,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
0.93,1.00,0.01,0.03
1.00,1.00,0.18,0.03
1.00,1.00,0.09,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.16,0.03
0.83,1.00,0.00,0.03
1.00,1.00,0.16,0.03
0.80,1.00,0.16,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.15,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.46,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.16,0.03
0.88,1.00,0.14,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.06,0.03
1.00,1.00,0.10,0.03
1.00,1.00,0.14,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.05,0.03
1.00,1.00,0.10,0.03
1.00,1.00,0.23,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.03,0.03
0.92,1.00,0.11,0.03
0.79,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.04,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.08,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.02,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.80,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.36,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.01,0.03
0.92,1.00,0.00,0.03
0.92,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.80,1.00,0.00,0.03
1.00,1.00,0.06,0.03
0.95,1.00,0.00,0.03
1.00,0.96,0.51,0.03
0.90,1.00,0.13,0.03
1.00,1.00,0.52,0.03
1.00,1.00,0.00,0.03
0.89,1.00,0.00,0.03
1.00,1.00,0.13,0.03
0.80,1.00,0.03,0.03
0.91,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.21,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.40,0.03
0.88,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.09,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
0.67,1.00,0.00,0.03
1.00,1.00,0.12,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
0.75,1.00,0.00,0.03
1.00,1.00,0.03,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.07,0.03
1.00,1.00,0.01,0.03
1.00,1.00,0.43,0.03
0.88,1.00,0.07,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.40,0.03
1.00,1.00,0.00,0.03
1.00,1.00,0.23,0.03
0.82,1.00,0.22,0.03
1.00,1.00,0.00,0.03
0.90,1.00,0.00,0.03
0.94,1.00,0.22,0.03
1.00,1.00,0.00,0.03
